1.531446486409835188e+03,6.209138384377574766e+03,3.853531872159387035e+02,1.656308898266090637e+03,6.250619143118158718e+03,4.309181700398611383e+02
5.288274769127150648e+03,3.079904619777714288e+03,1.043797712987565319e+03,5.355482171826670310e+03,3.180094562546027646e+03,1.113314497223220314e+03
3.006794823733526755e+03,5.013488645461007764e+03,1.375625817592092744e+03,2.935416660331240109e+03,5.056197193441192212e+03,1.263963018868700829e+03
3.518545704083976489e+03,4.708724995860070521e+03,1.391019187349234926e+03,3.632563792855677548e+03,4.641356322718266711e+03,1.434016631598413369e+03
2.220804110521407438e+03,3.803044628386295244e+03,1.661505421264377901e+03,2.219049288405460175e+03,3.827404043940729480e+03,1.798585625426714159e+03
6.276911901107216181e+03,8.003385944205875603e+03,2.151632849459827412e+03,6.310893281062464666e+03,8.086670360792112660e+03,2.045348256643055493e+03
5.860335068814247279e+03,5.268132809480042852e+03,2.242140759334751237e+03,5.883259347563467600e+03,5.323637905993473396e+03,2.116517892766348268e+03
3.042758837716104154e+03,4.714698265093496957e+03,2.349495554723455371e+03,3.020380788633668999e+03,4.736307605696625615e+03,2.213776351152398092e+03
3.836395926984416747e+03,4.899449313098979474e+03,2.361853732490604671e+03,3.974938694888450755e+03,4.912853968911425000e+03,2.358157847746894731e+03
5.668184579699125607e+03,4.805629791855270923e+03,2.351901798367954143e+03,5.690604894296906423e+03,4.929419665334400634e+03,2.292229027212615165e+03
5.914370108172955042e+03,7.824321900018015185e+03,2.422461776332647332e+03,5.974430506935952508e+03,7.786763185622966375e+03,2.542334769009984484e+03
4.336578929278095529e+03,3.785046107955813113e+03,2.506848271360300714e+03,4.205441603596736059e+03,3.745485653873603951e+03,2.481839969019865748e+03
6.209272467595345006e+03,5.757629870267735896e+03,2.683303698418560998e+03,6.202437791596742500e+03,5.668508097429753434e+03,2.576542096190938537e+03
5.929011866270702740e+03,7.866291308842326544e+03,2.924558080486500330e+03,5.977422720788476909e+03,7.765586280739260474e+03,2.841477821822846181e+03
5.545232734049910505e+03,5.772859210948861801e+03,2.857573907806915031e+03,5.485179152380391315e+03,5.885189135814437577e+03,2.801333368972756034e+03
3.092393948103906041e+03,8.591155570708131563e+03,4.830869935770272150e+02,2.968388168788833354e+03,8.563239669622253132e+03,4.262476404576882487e+02
4.140133450877033283e+02,2.240561940785788465e+03,5.699511711793405766e+02,3.020550595005960872e+02,2.321710174310003822e+03,5.863142205374276728e+02
3.950346819862101256e+03,2.847323556872072459e+03,9.778669860334656505e+02,4.031648071240257195e+03,2.735428554470248855e+03,9.618339619318900304e+02
1.483528828052363451e+03,6.058884827958298047e+03,1.062500014267895949e+03,1.595368218513881857e+03,6.038352440056257365e+03,1.142860543685242192e+03
2.399879560258699712e+03,2.520295877578961154e+03,1.162700362617494648e+03,2.282843566141876636e+03,2.444950941480269194e+03,1.166327976898400721e+03
4.010044751269947028e+03,4.947811708774026556e+03,1.223629277431755781e+03,3.924416020620289601e+03,5.051671642301211250e+03,1.188016392192602552e+03
5.940663023831232749e+03,6.871655103874683846e+03,1.264386057563274562e+03,5.814526870399345171e+03,6.813338060850225702e+03,1.255654723742445185e+03
