,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
20220120_5970-3_L2_ts003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220120_5970-3_L2_ts005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220121_5970_L3_ts008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220121_5970_L3_ts012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220121_5970_L3_ts013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220121_5970_L4_ts001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220121_5970_L4_ts003,53.0,7.0,12.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220121_5970_L4_ts004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220121_5970_L5_ts001,1.0,25.0,18.0,4.0,139.0,14.0,67.0,37.0,105.0,43.0,45.0,151.0,51.0,117.0,64.0,112.0,80.0,107.0,115.0,133.0,120.0,132.0,172.0,174.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220121_5970_L5_ts002,65.0,31.0,41.0,45.0,50.0,131.0,114.0,51.0,88.0,89.0,139.0,103.0,121.0,134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220121_5970_L5_ts003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220121_5970_L5_ts004,8.0,50.0,117.0,17.0,169.0,25.0,20.0,177.0,23.0,30.0,143.0,40.0,181.0,65.0,187.0,72.0,158.0,121.0,74.0,109.0,77.0,178.0,141.0,148.0,149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220121_5970_L5_ts005,40.0,1.0,8.0,7.0,10.0,50.0,41.0,12.0,36.0,21.0,24.0,48.0,56.0,55.0,74.0,59.0,73.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220121_5970_L5_ts006,9.0,15.0,65.0,19.0,24.0,71.0,36.0,76.0,40.0,38.0,73.0,67.0,45.0,77.0,46.0,80.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220121_5970_L5_ts007,193.0,4.0,9.0,55.0,19.0,140.0,25.0,26.0,192.0,50.0,199.0,53.0,78.0,56.0,101.0,81.0,60.0,106.0,62.0,68.0,141.0,209.0,76.0,175.0,82.0,125.0,104.0,105.0,208.0,121.0,181.0,174.0,130.0,206.0,164.0,190.0,,,,,,,,,,,,,,,,,,,,,,,,
